Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Dracula (Monkey Orchid),"Dracula est un genre de plus de 100 espèces de plantes à fleurs de la famille des Orchidacées, originaires d’Amérique centrale et d’une partie de l’Amérique du Sud. Les espèces de ce genre sont assez diverses, mais les plus populaires sont celles qui ressemblent à des singes. Ces fleurs inhabituelles et voyantes sont l’une des orchidées les plus étonnantes que vous ayez jamais vues. Mère Nature est si créative !",Perennials,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Dracula requires moist, well-drained soil and high humidity. The recommended soil pH is 5.5 to 7.0, depending on species.",Partial sun,avarage,medium,Limon
Echinacea (Coneflower),"L'échinacée est un genre d'environ 10 espèces de la famille des Astéracées, originaire d'Amérique du Nord. L'échinacée, communément appelée échinacée, possède des fleurs attrayantes et colorées ressemblant à des marguerites, avec un disque central en forme de cône entouré d'un anneau de rayons en forme de pétales. Elle possède des feuilles vert foncé en forme de lance ou d'ovale et une tige haute, fine et velue qui peut atteindre jusqu'à 120 cm (4 pieds) de hauteur. Ces plantes vivaces sont faciles à entretenir une fois que vous connaissez les secrets pour répondre à leurs besoins. Elles sont résistantes à la chaleur et à la sécheresse et attireront les oiseaux et les pollinisateurs dans votre jardin.",Perennials,Summer,Coneflowers will grow between 30 cm (1 ft) and 120 cm (4 ft) tall.,"Echinacea likes medium moisture and well drained soil, with a pH between 6.0 and 7.0. In the wild, they usually grow in poor and rocky soil and can tolerate more alkaline conditions.","Full sun, Partial sun",low,low,Limon
Echinops (Globe Thistle),"Echinops est un genre qui comprend environ 150 espèces de plantes à fleurs originaires d'Europe, d'Asie et d'Afrique du Nord. Le genre appartient à la famille des Astéracées, l'une des plus grandes familles de plantes. Les Echinops sont bien connus et reconnaissables à leur couronne globulaire de fleurs bleu foncé et à leur feuillage épineux et laineux, souvent gris-vert. C'est une plante couvre-sol utile, une excellente fleur coupée et un bon choix pour la bordure, capable d'attirer tous les pollinisateurs environnants.",Perennials,Summer,"The plant can grow from 50 cm to 1,5 metres (2 to 5 ft) in height.",Echinops grows best in well drained soil and prefers a pH between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low,Limon
Emilia (Tassel Flower),"Emilia, également connue sous le nom de Tassel Flower, est un genre de plus de 100 espèces de la famille des Asteraceae, réparties principalement dans les régions tropicales de l'Ancien Monde. Emilia a des fleurs lumineuses en forme de glands qui apparaissent sur ses tiges fines en été et au début de l'automne. Les fleurs se déclinent dans des tons de violet, de rouge et d'orange et sont idéales pour les jardins en pot et les compositions de fleurs fraîchement coupées.",Annuals,"Autumn, Summer","These plants usually grow from 30 cm (1 ft) to 60 cm (2 ft), and possibly up to 90 cm (3 ft) tall, depending on species.","The plant is not fussy about soil pH, but the soil must be well drained.",Full sun,avarage,low,Limon
Epimedium (Barrenwort; Bishop's hat; Horny Goat Weed),"Epimedium est un genre d'environ 60 espèces de la famille des Berberidaceae, originaire d'Europe et d'Asie et réparti dans les régions autour de la mer Méditerranée et de l'Asie de l'Est. Ces plantes qui aiment l'ombre ont de charmantes feuilles en forme de cœur ou de pointe de flèche et de belles fleurs en forme d'étoile de différentes couleurs. Les Epimediums sont des plantes vivaces à longue durée de vie et de bons couvre-sols connus pour leur robustesse, leur force et leur capacité à rivaliser avec les racines des arbres, ce qui en fait un excellent choix pour tout jardin d'ombre.",Perennials,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) in height.,"Epimedium prefers rich and moist soil, with a pH between 5.5 to 7.0. However, it will adapt to a wide range of conditions and survive in nearly any shady location.","Partial sun, Shade",avarage,low,Limon
Eranthis (Winter Aconite),"Eranthis est un genre d'environ 10 espèces de plantes vivaces tubéreuses de la famille des Ranunculaceae, originaires du sud de l'Europe et d'Asie. Ces plantes à croissance basse comptent parmi les fleurs d'hiver les plus frappantes et font partie des premiers bulbes à fleurir au printemps, apparaissant souvent aux côtés des perce-neige. Les fleurs en forme de coupe sont jaunes ou blanches, distinctes et assez inhabituelles, soutenues par des bractées feuillées divisées. Elles sont faciles à entretenir et peuvent survivre à la neige et au gel. Ces plantes à floraison précoce sont idéales pour les massifs et les bordures, et seront magnifiques plantées en grandes rangées sous les arbres. Elles conviennent aux rocailles, aux jardins de campagne et comme couvre-sol.","Bulbs, Perennials","Spring, Winter","These low growing plants can reach a maximum height of 20 cm (8 inches), but usually they are much smaller.","The plant is adaptable to a wide variety of soils, as long as they are well drained. It tolerates most types of soils including loam, clay, chalk and sand.","Full sun, Partial sun",avarage,low,Limon
Erysimum (Wallflower),"Erysimum est un genre d'environ 180 espèces de plantes à fleurs de la famille des Brassicacées, originaires d'Europe, d'Asie occidentale et d'Amérique du Nord. L'Erysimum produit des feuilles étroites, gris-vert et des fleurs à quatre pétales, aux couleurs vives et souvent parfumées, portées par de longs épis. Elles constituent un excellent choix pour votre jardin, votre parterre de fleurs ou votre bordure de jardin.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer",Erysimum can grow up to 90 cm (3 ft) high.,"Erysimum prefers well drained soil, with a pH between 5.0 and 8.0.",Full sun,avarage,low,Limon
Erythronium (Fawn Lily),"Erythronium est un genre d'environ 30 espèces de plantes vivaces bulbeuses de la famille des Liliacées. La plupart des espèces sont originaires d'Amérique du Nord, à l'exception d'Erythronium dens-canis, originaire d'Europe centrale et méridionale. Les membres de ce genre ont de jolies fleurs pendantes et des feuilles tachetées, souvent aux couleurs ou aux motifs bizarres. Elles sont faciles à cultiver et populaires dans les jardins.","Bulbs, Perennials",Spring,Erythronium can grow up to 60 cm (2 ft) in height.,"Erythronium grows best in moist and well drained soil. It is not fussy about soil pH, but is intolerant of dry conditions.",Partial sun,avarage,low,Limon
Eustoma (Lisianthus; Prairie Gentian),"Eustoma est un genre qui ne comprend que trois espèces de la famille des Gentianacées, originaires du sud des États-Unis, du Mexique, des Caraïbes et d’Amérique du Sud. L’Eustoma, également appelé Lisianthus ou Gentiane des prairies, peut être annuel ou vivace, selon la région où il est cultivé. Cette plante produit de grandes et magnifiques fleurs en forme de cloche, à pétales simples ou doubles.","Annuals, Perennials","Autumn, Summer","Depending on the variety, Eustoma will grow from 15 cm (6 inches) to 80 cm (3 ft) in height.","The plant performs best in rich, moist and well drained soil, with a pH between 6.5 and 7.0.","Full sun, Partial sun",avarage,medium,Limon
Felicia (Blue Daisy; Marguerite Daisy),"Felicia est un genre d’environ 80 espèces annuelles, vivaces et de petits arbustes appartenant à la famille des Astéracées. La plupart de ces espèces sont originaires d’Afrique australe, où elles poussent sur les dunes côtières, les plaines rocheuses et sablonneuses, les pentes caillouteuses et les falaises de basalte. La plante présente des capitules typiques de type « marguerite », généralement avec des pétales voyants de couleur bleue, blanche ou violette, et un centre jaune vif. Cette beauté saisissante possède une longue période de floraison, du printemps à l’automne, et attire papillons, abeilles, guêpes, araignées et thrips.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer",The species can grow up to 50 cm (20 inches) in height.,Felicia grows in almost any well drained soil.,Full sun,avarage,low,Limon
Forsythia (Golden Bell),"Forsythia est un genre d’environ 10 espèces de plantes à fleurs de la famille des Oléacées, originaires d’Asie de l’Est. Ces plantes sont des arbustes à feuilles caduques, à la fois durables et à croissance rapide. Elles produisent des grappes de fleurs jaune vif qui apparaissent généralement avant les feuilles, créant un effet spectaculaire au début du printemps. Lorsqu’il pleut, les fleurs adoptent une forme pendante pour protéger leurs parties reproductrices.",Shrubs,Spring,"Forsythia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","The soil should be moist, but well drained and rich in organic matter. Forsythia grows in low-acidic, neutral and even moderately alkaline soils.","Full sun, Partial sun",avarage,low,Limon
Fritillaria (Checkered Lily; Snakes Head; Crown Imperial),"Fritillaria est un genre comprenant plus de 100 espèces de plantes herbacées à bulbes de la famille des Liliacées, originaires de l’hémisphère nord. Une tige haute et fine porte un cercle de fleurs pendantes, colorées et voyantes, en forme de cloche. C’est une plante élégante et remarquable qui peut atteindre 1,5 mètre de hauteur. La fritillaire est utile dans les massifs, les bordures, les pots, les rocailles et peut également être utilisée comme fleur coupée.","Bulbs, Perennials",Spring,"Fritillaria can reach 30 cm to 1,5 metres (1-5 ft) in height, depending on variety.",The plant requires well drained soil.,"Full sun, Partial sun",avarage,low,Limon
Fuchsia (Lady's eardrop),"Fuchsia est un genre comprenant plus de 100 espèces d’arbustes ou de petits arbres, à feuilles caduques ou persistantes, appartenant à la famille des Onagracées, originaires d’Amérique centrale et d’Amérique du Sud. Le fuchsia est très apprécié pour ses fleurs hautement ornementales, attrayantes et généralement pendantes, aux combinaisons de rouge, blanc, rose et violet. Aujourd’hui, le fuchsia est l’une des plantes ornementales les plus cultivées au monde.","Shrubs, Trees","Autumn, Summer","Fuchsia can grow from 15 cm (6 inches) to 15 metres (50 ft) in height, depending on species.","Fuchsia prefers moist, but well drained soil, with a pH between 5.5 and 6.5.","Full sun, Partial sun",avarage,low,Limon
Galanthus (Snowdrops),"Galanthus, communément appelé Perce-neige, est un genre qui comprend environ 20 espèces de plantes bulbeuses de la famille des Amaryllidacées, originaires d’Europe et du Moyen-Orient. Symboles du début du printemps, ils comptent parmi les premiers bulbes à fleurir. Les perce-neige sont célèbres pour leurs fleurs blanches en forme de cloche, qui pendent librement et donnent une impression de modestie.","Bulbs, Perennials","Spring, Winter",These tiny flowers grow up to 25 cm (10 inches) high.,Galanthus prefers moist and well drained soil of pH 6.0 to 8.0.,"Full sun, Partial sun",avarage,low,Limon
Gardenia (Gardenia),"Gardenia est un genre qui comprend environ 140 espèces d’arbustes et de petits arbres à feuillage persistant. Il appartient à la famille des Rubiacées et est originaire des régions tropicales et subtropicales d’Asie, d’Australasie, d’Océanie et d’Afrique. Ces plantes sont réputées pour leurs fleurs cireuses, très parfumées, de couleur blanche ou crème, ainsi que pour leurs feuilles vert foncé et brillantes. Elles apporteront charme, couleur et parfum à votre jardin. Les visiteurs, tout comme les pollinisateurs, apprécieront leurs magnifiques floraisons parfumées.","Shrubs, Trees","Spring, Summer","Gardenia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","Gardenia likes moist, but well drained soil. The ideal soil pH is between 5.0 and 6.0.","Full sun, Partial sun",avarage,hard,Limon
Gentiana (Gentian),"Gentiana est un grand genre d’environ 400 espèces de la famille des Gentianacées, réparties dans le monde entier. Ces plantes poussent dans une grande variété d’habitats et se trouvent sur tous les continents à l’exception de l’Antarctique. Elles produisent des fleurs en forme de trompette, aux couleurs vives, portées par de courtes tiges. Les fleurs comptent 4 ou 5 sépales et le même nombre d’étamines et de pétales. Elles sont parfaites en tant que fleurs coupées et pour réaliser des arrangements floraux.","Annuals, Perennials","Spring, Autumn, Summer",These plants range from dwarf species just 5 cm (2 inches) tall to the larger varieties that grow up to 90 cm (3 ft) in height.,"Gentiana will grow best in rich, moist and well drained soil, with a pH level between 5.0 and 7.5.","Full sun, Partial sun",avarage,low,Limon
Geranium (Cranesbills),"Le genre Geranium, également appelé « Géranium vivace » ou « Bec-de-grue », comprend plus de 400 espèces de plantes à fleurs de tailles, formes et couleurs variées. Le géranium appartient à la famille des Géraniacées et se rencontre dans de nombreuses régions tempérées du globe ainsi que dans certaines zones tropicales d’altitude. La plupart de ces espèces possèdent un feuillage décoratif et aromatique, ainsi que des fleurs en forme de soucoupe, symétriques, comportant cinq pétales distincts. Ces plantes très attractives figurent parmi les plus populaires, fréquemment utilisées dans les massifs, les bordures et les pots. Faciles à cultiver, elles fleurissent généralement du printemps à l’automne.","Annuals, Perennials","Spring, Autumn, Summer",These plants grow between 15 and 120 cm (6 inches to 4 ft) in height.,Geranium will grow in almost any kind of soil. The ideal soil pH should be mildly acidic.,"Full sun, Partial sun",avarage,low,Limon
Gerbera (Gerbera),"Gerbera est un genre qui comprend environ 40 espèces de plantes à fleurs de la famille des Astéracées (famille des marguerites), originaires d’Asie tropicale et d’Afrique. Ces plantes vivaces portent un grand capitule formé de fleurons ligulés de différentes couleurs. En réalité, ce « capitule » est un vaste ensemble de centaines de minuscules fleurs. Les gerberas sont de belles plantes d’intérieur et figurent parmi les fleurs coupées les plus populaires. Leur grande taille et leurs couleurs vives les rendent extrêmement attrayantes.",Perennials,"Spring, Autumn, Summer",The species are 20 to 45 cm (8-18 inches) tall. The flower heads vary from 7 to 12 centimeters (3 to 5 inches) in diameter.,"Gerberas prefer rich and well drained soil, with lots of added organic matter. They grow best in a slightly acidic soil with a pH of 5.5 - 6.5.","Full sun, Partial sun",avarage,low,Limon
Geum (Avens),"Geum est un genre d’environ 50 espèces de la famille des Rosacées, largement réparties dans les régions tempérées du monde. Le geum est une plante polyvalente remarquable qui fleurit au printemps et en été. Aussi connue sous le nom d’Avens, cette vivace produit de belles fleurs simples ou doubles dans une large gamme de couleurs. Les fleurs éclatantes et lumineuses se dressent au-dessus du feuillage sur des tiges droites et fines, leur conférant une apparence délicate et aérienne. Les geums conviennent aux bordures et aux rocailles, mais peuvent également être cultivés en pot. Ils sont parfaits en arrangements en pot et constituent d’excellentes fleurs coupées.",Perennials,"Spring, Summer",The plant grows up to 60 cm (2 ft) tall.,"Geums prefer rich, moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Gladiolus (Gladiola; Sword lily),"Le genre Gladiolus, parfois appelé « Lis épée », comprend environ 300 espèces appartenant à la famille des Iridacées. La plupart sont originaires d’Afrique subsaharienne, et une dizaine d’espèces proviennent d’Eurasie. Ces plantes vivaces produisent des feuilles étroites en forme de lame et de jolies fleurs parfumées sur de grandes hampes florales. Elles se déclinent dans une large palette de couleurs et sont très appréciées aussi bien comme fleurs de jardin que comme fleurs coupées.","Bulbs, Perennials","Spring, Autumn, Summer",Gladiolus grows between 60 to 180 cm (2 to 6 ft) in height.,"These plants prefer moist and well drained soil, with a pH between 6.0 and 7.0.",Full sun,avarage,low,Limon
Gloriosa (Flame Lily),"Gloriosa est un genre d’environ 10 espèces de la famille des Colchicacées, originaires d’Afrique tropicale et d’Asie. Bien que classées parmi les vivaces, elles sont souvent traitées comme des annuelles semi-rustiques. Elles sont connues pour leurs fleurs attrayantes, au look exotique, qui fleurissent de la fin du printemps à l’automne. Ces plantes grimpantes, au charme saisissant, méritent une place de choix dans tout jardin grâce à leurs couleurs vives et leur forme distinctive. Si vous cherchez quelque chose de spécial pour votre jardin ou votre intérieur, ou si vous avez du mal à trouver une plante particulière que vous désirez depuis longtemps, la Gloriosa est un excellent choix.","Annuals, Bulbs, Climbers, Perennials","Spring, Autumn, Summer","Gloriosa usually grows to about 3 m (10 ft), but sometimes reaches more than 3 m (10 ft) in height and requires a trellis or wall to climb on. Some species, such as Gloriosa lutea (Gloriosa Lily), are smaller in size.","The plant prefers rich, well-drained soil that retains moisture. It will perform best in neutral to alkaline soil ranging from 5.8 to 6.5 on the pH scale.","Full sun, Partial sun",avarage,medium,Limon
Gomphrena (Gomphrena),"Gomphrena est un genre de plus de 100 espèces de plantes à fleurs de la famille des Amaranthacées, réparties dans les régions tempérées chaudes, subtropicales et tropicales du monde. Le genre comprend des plantes annuelles et vivaces de petite taille, produisant des fleurs de couleur blanche, jaune, rose, orange, rouge ou violette. Certaines espèces sont utilisées en médecine traditionnelle et d’autres en ornement. Faciles à cultiver et résistantes à la sécheresse, elles conviennent aux plates-bandes, bordures, pots et jardinières, et sont idéales en fleurs coupées ou séchées.","Annuals, Perennials","Spring, Autumn, Summer","These beautiful plants can reach up to 90 cm (3 ft) in height, but most of the species are smaller than that.",The plant is not fussy about the soil type as long as it is well drained. It grows best in full sun and is tolerant of dry soil and humidity.,Full sun,avarage,low,Limon
Hamamelis (Witch Hazel),"Hamamelis, ou « Noisetier des sorcières », est un genre qui ne compte que quelques espèces de la famille des Hamamélidacées, originaires d’Asie de l’Est et d’Amérique du Nord. Il s’agit d’arbustes ou de petits arbres caducs pouvant atteindre 8 m de hauteur, produisant des fleurs parfumées et filiformes en automne ou en hiver, directement sur le bois nu. Très rustiques, ils apportent de la couleur en plein hiver.","Shrubs, Trees","Spring, Autumn, Winter","The plant grows between 150 cm (5 ft) and 8 m (26 ft) in height, depending on the species.","Hamamelis likes fertile, moist and well drained soil, with a ph between 4.5. and 7.0. It tolerates deep soils over chalk.","Full sun, Partial sun",avarage,low,Limon
Helenium (Sneezeweed),"Helenium est un genre d’environ 40 espèces de la famille des Astéracées, originaires des Amériques. Les heleniums produisent un feuillage vert et des tiges fines surmontées de fleurs en forme de marguerite aux couleurs vives, qui s’épanouissent en été et en automne. Chaque capitule comprend un disque central de fleurons tubulés entouré de ligules plus larges, souvent retombantes. Aimant le plein soleil, ils attirent papillons et autres pollinisateurs.","Annuals, Perennials","Autumn, Summer",Helenium grows up to 150 cm (5 ft) tall.,"Helenium likes moist and well drained soil, and will tolerate most pH levels.",Full sun,avarage,medium,Limon
Helianthus (Sunflower),"Helianthus, le « Tournesol », est un genre d’environ 70 espèces annuelles et vivaces de la famille des Astéracées, majoritairement originaires d’Amérique du Nord et quelques-unes d’Amérique du Sud. Les tournesols sont reconnus pour leurs grandes fleurs en forme de marguerite, jaunes ou bicolores, avec un centre souvent plus sombre et un feuillage vert rugueux. Au-delà de leur beauté, ils sont aussi importants pour l’agriculture.","Annuals, Perennials","Autumn, Summer","Although there are some dwarf species that grow 30-60 cm (1-2 ft) tall, Sunflowers are usually tall plants which can grow up to 3 metres (10 ft) in height.","Sunflowers grow best in fertile, well drained soil, with a pH range between 6.0 and 7.5.",Full sun,avarage,low,Limon
Heliconia (Lobster Claw; False Bird of Paradise),"Heliconia est un genre d’environ 200 espèces de la famille des Heliconiacées, originaire des régions tropicales des Amériques, avec quelques espèces dans le Pacifique. Elles se distinguent par leurs bractées colorées, souvent rouges, roses, jaunes ou orange, qui protègent de petites fleurs. Ces plantes exotiques sont spectaculaires en massif et très appréciées en fleuristerie.",Perennials,"Spring, Autumn, Summer","Heliconias can vary in height from as small as 60 cm (2 ft) to 6 metres (20 ft), depending on species.",Heliconia prefers rich and well drained soil that stays consistently moist. The optimal pH range is between 5.0 and 7.0.,"Full sun, Partial sun",avarage,low,Limon
Helleborus (Hellebore; Christmas Rose),"Helleborus, ou Hellébore, est un genre d’une vingtaine d’espèces vivaces de la famille des Renonculacées, originaires d’Europe et d’Asie. Chaque fleur se compose de cinq sépales colorés entourant un cœur de petites pétales réduites, de nombreuses étamines et quelques pistils. Les sépales persistent longtemps et offrent une palette de couleurs variée (rose, vert, jaune, blanc, violet, noir).",Perennials,"Spring, Winter","They range in size from 30 cm (1 ft) to 1,2 metres (4 ft) tall.","These plants prefer rich, moist and well-drained soil. They are tolerant of most soil types, but avoid planting them in dry or waterlogged soil.","Partial sun, Shade",avarage,low,Limon
Hibiscus (Rose mallow),"Hibiscus est un genre d’environ 400 espèces de la famille des Malvacées, originaires des régions tropicales et subtropicales. Il inclut des arbustes, des petits arbres et des plantes annuelles ou vivaces. Les fleurs, grandes et en forme de trompette, se déclinent en de multiples coloris et attirent souvent les colibris et les papillons.","Annuals, Perennials, Shrubs, Trees","Autumn, Summer",These beauties can reach heights up to 4 metres (13 ft).,"Hibiscus likes moist and well drained soil, with a neutral to slightly acidic pH.","Full sun, Partial sun",avarage,low,Limon
Hippeastrum (Amaryllis),"Hippeastrum est un genre de la famille des Amaryllidacées comprenant environ 90 espèces et plus de 600 hybrides, originaires des régions tropicales du Mexique, des Caraïbes et d’Amérique du Sud. Ces plantes à bulbe vivaces produisent de grandes fleurs en forme de trompette, aux coloris variés. Souvent confondu avec l’Amaryllis, l’Hippeastrum est très apprécié pour ses floraisons spectaculaires.",Bulbs,"Spring, Winter, Summer",Hippeastrum grows from 30 cm to 90 cm (1 to 3 ft) high.,"This plant will grow in moist and well drained soil that is acidic, alkaline or neutral.","Full sun, Partial sun",avarage,low,Limon
Hosta (Plantain Lily),"Hosta est un genre d’environ 30 espèces de vivaces de la famille des Asparagacées, originaires de l’Asie de l’Est. Ces plantes d’ombre sont connues pour leur superbe feuillage décoratif, décliné en différentes formes, tailles et coloris. Bien qu’on les cultive surtout pour leurs feuilles, elles produisent également de jolies fleurs tubulaires ou en cloche, appréciées des abeilles et parfois des colibris.",Perennials,"Spring, Autumn, Summer","Some varieties are short, while some can grow up to 180 cm (6 ft) tall.","Hosta can tolerate just about any soil, but does best in rich, moist and well-drained soil.","Partial sun, Shade",avarage,low,Limon
Hoya (Wax Plant),"Hoya est un genre d’environ 200 espèces de la famille des Apocynacées, originaire d’Asie, d’Inde, de Chine, de Thaïlande, de Malaisie, des Philippines, d’Indonésie et d’Australie. Ces plantes grimpantes à croissance lente ont des tiges ligneuses et des feuilles épaisses et charnues. Leurs fleurs, parfumées et en forme d’étoile, sont parfaites pour les suspensions ou les jardins verticaux.","Climbers, Perennials, Shrubs","Spring, Autumn, Winter, Summer",Hoya plants range in size from 10 cm (4 inches) to 3 meters (10 ft) in height.,"The plant will grow best in moist and well drained soil, with a pH between 5.0 and 6.5.","Full sun, Partial sun",avarage,low,Limon
Hyacinthus (Hyacinth),"Hyacinthus est un petit genre de trois espèces de plantes bulbeuses de la famille des Asparagacées, originaires du bassin méditerranéen et du Moyen-Orient. Les feuilles sont étroites et les fleurs très parfumées, groupées en grappes denses au sommet d’une tige nue. Les jacinthes, grâce à leur parfum intense, sont très populaires au jardin et en bouquets.",Bulbs,Spring,Hyacinth can grow up to 30 cm (1 ft) in height.,These plants will perform well in moist and well drained soil that is neutral to slightly acidic.,"Full sun, Partial sun",avarage,low,Limon
Hydrangea (Hortensia),"Hydrangea est un genre d’environ 70 espèces d’arbustes, d’arbres et de plantes grimpantes de la famille des Hydrangéacées, originaire d’Asie orientale. Les hortensias se déclinent en de nombreux cultivars et variétés, avec de grosses inflorescences sphériques ou plates, dans des teintes allant du blanc au rose, rouge, bleu ou violet. Ils sont très appréciés pour leurs fleurs en bouquets et leur aspect ornemental.","Climbers, Shrubs, Trees","Spring, Autumn, Summer","The species range in size from 60 cm to 12 metres (2 ft to 40 ft) in height, depending on species.","Hydrangea grows best in moist, but well drained soil.",Partial sun,avarage,low,Limon
Hypericum (St. John’s Wort),"Hypericum est un genre de plus de 200 espèces de plantes à fleurs de la famille des Hypéricacées, originaires des régions tempérées d’Europe, d’Afrique du Nord et du Moyen-Orient. Leurs fleurs jaunes à cinq pétales possèdent des étamines proéminentes souvent groupées en faisceaux. Plusieurs espèces sont cultivées comme plantes ornementales ou utilisées en phytothérapie.","Annuals, Perennials, Shrubs, Trees","Spring, Autumn, Summer","Hypericum can reach a height between 30 cm (1 ft) and 2 m (7 ft), depending on species.",Hypericum grows best in moist and well drained soil that has a pH between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low,Limon
Hypoxis (Star Grass),"Hypoxis est un genre d’environ 90 espèces de vivaces de la famille des Hypoxidacées, répandues en Afrique, en Asie, en Australie et en Amérique. Ces plantes se reconnaissent à leurs feuilles linéaires et à leurs fleurs étoilées jaune vif qui apparaissent au printemps ou au début de l’été. Les fleurs sont habituellement composées de six tépales et sont pollinisées par les abeilles.",Perennials,"Spring, Summer",Hypoxis plants usually grow to a height of 20 cm (8 inches).,Hypoxis grows best in moist areas with full sun. Most species are not fussy about the soil pH.,"Full sun, Partial sun",low,low,Limon
Hyssopus (Hyssop),"Hyssopus est un genre d’une dizaine d’espèces de vivaces herbacées et d’arbustes persistants de la famille des Lamiacées, originaires du sud et de l’est de l’Europe ainsi que des zones tempérées d’Asie. Les tiges sont dressées et ramifiées, les feuilles étroites, et les fleurs bilabiées très attractives pour les abeilles, colibris et autres pollinisateurs.","Perennials, Shrubs","Spring, Autumn, Summer",The plant usually grows to a height of 60 cm (2 ft).,"Hyssopus thrives in sunny or partially shaded areas with well drained, moist or dry soil. It is an adaptable plant that grows in sandy or loamy soils and tolerates a pH range from 5.0 to 8.0.","Full sun, Partial sun",avarage,low,Limon
Iberis (Candytuft),"Iberis, appelé aussi Corbeille d’argent, est un genre d’environ 50 espèces de la famille des Brassicacées, originaires d’Europe et d’Asie, notamment du bassin méditerranéen. Ces plantes ont un feuillage vert foncé et des inflorescences en grappes de petites fleurs blanches, roses ou pourpres. Elles sont souvent utilisées en couvre-sol, en bordures ou en rocailles.","Annuals, Perennials, Shrubs","Spring, Summer",The plant can reach a height between 15 cm (6 inches) and 30cm (1 ft).,"Iberis likes rich, moist and well drained soil. Some species can grow in nutritionally poor soil.",Full sun,avarage,medium,Limon
Impatiens (Jewelweed; Touch-me-not; Busy Lizzy),"Impatiens est un genre très vaste d’environ 1000 espèces de la famille des Balsaminacées, présentes dans l’hémisphère Nord et en zones tropicales. Ces plantes, annuelles ou vivaces, apprécient l’ombre et fleurissent abondamment durant toute la belle saison. Leurs fleurs vivement colorées attirent les colibris et sont parfaites en pots, suspensions, jardinières, massifs ou couvre-sol.","Annuals, Perennials","Spring, Autumn, Summer",They are short plants that usually don't grow larger than 30 cm (1 ft).,"These plants prefer rich, moist and well drained soil, with a pH between 6.0 and 7.5.","Partial sun, Shade",avarage,low,Limon
Ipomoea (Morning Glory; Kangkung),"Ipomoea est un grand genre de la famille des Convolvulacées, comptant plus de 500 espèces d’herbacées, de lianes, d’arbustes et d’arbres, originaires d’Amérique tropicale et subtropicale. Les fleurs, souvent en forme d’entonnoir, se déclinent en de nombreuses couleurs. Cette plante se distingue par sa croissance rapide et sa floraison généreuse, qui attire colibris et insectes pollinisateurs.","Annuals, Climbers, Perennials, Shrubs, Trees","Spring, Autumn, Summer","These plants vary in size from 20 cm (8 inches) to 4,5 metres (15 ft) in height.",The plant is very adaptable and will grow in almost any type of soil that is well drained.,Full sun,avarage,low,Limon
Iris (Iris),"Iris est un genre d’environ 300 espèces de la famille des Iridacées, principalement originaires de l’hémisphère Nord. Recherchés pour leurs fleurs magnifiques et colorées, les iris sont faciles à cultiver et se déclinent dans une large palette de nuances. Ils égaient les jardins et fleurissent souvent du printemps jusqu’au début de l’été, parfois plus longtemps selon les variétés.",Perennials,"Spring, Autumn, Winter, Summer","Irises are available in different sizes, which range from dwarf species (5 cm or 2 inches) to much larger varieties (130 cm or 4 ft).",Iris performs best in moist and well drained soil that is slightly acidic.,"Full sun, Partial sun",avarage,low,Limon
Ixora (Jungle Flame; Flame of the Woods),"Ixora est un genre de la famille des Rubiacées comprenant environ 550 espèces d’arbustes et de petits arbres, originaires des régions tropicales et subtropicales. Il est apprécié pour sa forme arrondie, son feuillage brillant et ses inflorescences composées de nombreuses petites fleurs tubulaires colorées (rouge, rose, jaune, blanc).","Shrubs, Trees","Spring, Summer",Ixora grows up to 200 cm (7 ft) in height.,"Ixora likes moist, but well drained soil. It should be planted in rich, acidic soil because alkaline soil can result in yellow foliage.","Full sun, Partial sun",avarage,low,Limon
Jasminum (Jasmine),"Jasminum, ou Jasmin, est un genre d’environ 200 espèces de la famille des Oléacées, originaire des régions tropicales et subtropicales d’Eurasie, d’Australasie et d’Océanie. Ces plantes grimpantes ou arbustives sont cultivées pour leurs fleurs étoilées, blanches ou jaunes, au parfum doux et intense. Elles sont très populaires en jardin et en potée.","Climbers, Shrubs","Spring, Summer","Growing approximately 30-60 cm (1-2 ft) per year, Jasmines can reach 150 cm (5 ft) tall as a shrub and over 10 m (33 ft) as a vine.","Jasmine likes fertile and moist, but well drained soil. The ideal soil pH is between 6.0 and 7.5.","Full sun, Partial sun",low,low,Limon
