Name,Desc,SunNeeds,WaterNeeds,Maintenance,Type de Sol,SunNeeds_Score,WaterNeeds_Score,Maintenance_score,saison,plant_categories,min_height_cm,max_height_cm,min_ph,max_ph
Centaurea (Cornflower; Bachelor's Button; Basket Flower),"Centaurea est un genre d'environ 500 espèces de la famille des Asteraceae, originaire de l'Ancien Monde. Ces plantes ont des tiges dressées et velues, des feuilles étroites en forme de lance et des fleurs disposées en capitules au sommet de la tige fleurie. Les fleurs contiennent des fleurons en forme de disque, comme ceux du centre jaune d'une marguerite, et des fleurons en forme de pétales à la périphérie du capitule. Les centaurées sont rares à l'état sauvage, mais deviennent de plus en plus populaires dans les jardins.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été","Annuelles, Vivaces",90.0,91.44,,
Chrysanthemum (Mum),"Le chrysanthème est un genre d'environ 40 espèces de plantes vivaces originaires d'Asie et d'Europe, qui appartient à la famille des astéracées. Le chrysanthème est l'une des fleurs les plus populaires au monde. Il existe en différentes formes, tailles et couleurs et produit de magnifiques fleurs qui s'épanouissent en été et en automne. La plante est idéale pour la culture en parterre et en pot.",Plein soleil,Moyenne,Moyen,Limon,1.0,1.0,0.5,"Printemps, Automne",Vivaces,30.0,121.92,,
Clarkia (Godetia),"Clarkia est un genre d'environ 40 espèces d'annuelles de la famille des Onagraceae, principalement originaires de l'ouest de l'Amérique du Nord. Le Clarkia produit des fleurs joyeuses, en forme de coupe, de formes et de couleurs variées. Les fleurs ont généralement quatre sépales et quatre pétales réunis à la base du tube floral. Les clarkias sont des beautés faciles à cultiver qui apporteront des couleurs vives et du charme à votre jardin d'été.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,"Automne, Été",Annuelles,150.0,152.4,6.0,6.0
Claytonia (Spring Beauty),"La Claytonia, communément appelée Spring Beauty, est un genre d'environ 30 espèces de plantes à fleurs de la famille des Montiaceae, originaires d'Amérique et d'Asie. Elles se présentent sous différentes formes, avec des espèces annuelles et vivaces. Les fleurs sont généralement à cinq pétales et se déclinent dans des tons blancs, roses, violets et rouges. Leur habitat naturel est la forêt, ce qui leur permet d'apprécier la lumière filtrée du soleil. Certaines espèces sont comestibles et ont un goût très agréable !","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été, Hiver","Annuelles, Vivaces, Bulbes",30.0,30.48,,
Clematis (Travellers Joy; Old Man's Beard),"La clématite est un genre de plus de 300 espèces de plantes grimpantes à fleurs, d'arbustes et de plantes vivaces herbacées de la famille des Ranunculaceae, originaires d'Asie de l'Est. Ces plantes se présentent sous différentes formes, tailles et couleurs, y compris une gamme de différents types de fleurs. Elles sont polyvalentes et faciles à entretenir. La clématite, également connue sous le nom de « reine des plantes grimpantes », est sans aucun doute l'une des plantes de jardin les plus populaires. Les tiges flexibles et fleuries produisent des effets excitants dans le jardin, créant une expérience glorieuse tout au long de la saison.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver","Vivaces, Arbustes, Grimpantes",30.0,1219.2,,
Clerodendrum (Glorybower; Bagﬂower),"Clerodendrum est un grand genre de plus de 300 espèces de plantes à fleurs de la famille des Lamiaceae, originaires des régions tropicales et subtropicales du monde. Le genre comprend des arbustes, des arbres et des plantes grimpantes. Ces plantes sont de tailles, de formes et de couleurs variées. Elles ont généralement de grandes feuilles et des fleurs voyantes aux couleurs vives, qui sont parfumées chez certaines espèces. De nombreuses espèces sont cultivées pour leurs fruits colorés et leurs belles fleurs qui émergent en grappes. Elles constituent un excellent élément pour les parterres de fleurs ou les bordures.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Printemps, Automne, Été, Hiver","Arbustes, Arbres, Grimpantes",90.0,3000.0,,
Convallaria (Lily of the Valley),"Convallaria est un petit genre de la famille des Asparagaceae, originaire des régions tempérées de l'hémisphère nord. Le genre est composé de trois espèces - Convallaria majalis, Convallaria montana et Convallaria keiskei. Elles vivent dans des endroits ombragés et sont l'une des plantes à floraison les plus parfumées au printemps et au début de l'été. Les plantes produisent de délicates fleurs en forme de clochettes et de petites baies rouges à maturité. Le feuillage vert foncé sert de toile de fond aux petites fleurs pendantes et cireuses qui sont généralement blanches. Chaque fleur a six pétales fusionnés en clochettes pendantes le long d'un côté au sommet de la tige florale. Le muguet est une plante idéale pour les jardins forestiers ou comme couvre-sol dans les bordures ombragées.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Été","Vivaces, Bulbes",30.0,30.48,,
Coreopsis (Tickseed; Calliopsis),"Le Coreopsis est un genre d'environ 100 espèces de la famille des Asteraceae, que l'on trouve communément dans les prairies et les forêts d'Amérique du Nord, d'Amérique centrale et d'Amérique du Sud. Le Coreopsis produit des fleurs aux couleurs vives et éclatantes, semblables à des marguerites, qui fleurissent en été et en automne. Au cours de leur croissance, les plantes développent des fleurs individuelles ou des fleurs disposées en grappes terminales. Elles sont faciles à entretenir et sont idéales pour les plates-bandes, les bordures, les conteneurs et les plantes couvre-sol. Plantez-les en masse pour obtenir un bel effet !
",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été","Annuelles, Vivaces",15.0,121.92,,
Cosmos (Cosmos),"Le cosmos est un genre d'environ 40 espèces de plantes à fleurs, pour la plupart annuelles. Ils appartiennent à la famille des Astéracées, l'une des plus grandes familles de plantes à fleurs. Ces plantes attrayantes, originaires d'Amérique tropicale, ont de grandes fleurs brillantes ressemblant à des marguerites et des feuilles vertes qui poussent dans des formes et des motifs variés. Si vous recherchez une jolie fleur utile qui attire les abeilles, les oiseaux et les papillons et qui nécessite peu d'entretien, le Cosmos est une fleur parfaite pour vous !",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été",Annuelles,120.0,121.92,5.0,5.0
Crocosmia (Montbretia),"Le Crocosmia est un genre d'environ 10 espèces de la famille des Iridaceae, originaire du sud et de l'est de l'Afrique. La plante a un feuillage en forme d'épée et des fleurs en forme d'entonnoir aux couleurs vives sur des tiges arquées. Le Crocosmia fleurit de juillet à octobre et attire beaucoup d'attention.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été","Vivaces, Bulbes",60.0,60.96,,
Cyclamen (Sowbread),"Le cyclamen est un genre d'environ 20 espèces de plantes vivaces tubéreuses de la famille des Primulaceae. La plupart d'entre elles sont originaires d'Europe et de la Méditerranée. Ces plantes ont des feuilles attrayantes en forme de cœur et des fleurs colorées à cinq pétales de forme unique. Elles sont l'une des plantes d'intérieur les plus populaires, mais dans des conditions adéquates, elles s'épanouissent également à l'extérieur. Elles vous fascineront par leur beauté et leur perfection !",Mi-ombre,Moyenne,Faible,Limon,0.5,1.0,0.0,"Automne, Hiver","Vivaces, Bulbes",15.0,15.24,,
Cymbidium (Cymbidium),"Le cymbidium est un genre d'environ 50 espèces de la famille des Orchidaceae, originaire des hautes altitudes de l'Asie du Sud-Est, bien que plusieurs espèces soient originaires du nord de l'Australie. Les cymbidiums ont une longue tige qui produit de belles fleurs exotiques à l'aspect cireux. Ces plantes vivaces poussent dans la nature sur des rochers ou des branches d'arbres. Elles font partie des orchidées les plus populaires au monde en raison de leur facilité d'entretien, de leur adaptabilité et de leurs fleurs spectaculaires dans une large gamme de couleurs.",Mi-ombre,Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Hiver",Vivaces,150.0,152.4,,
Dahlia (Dahlia),"Le dahlia est un genre d'herbes à racines tubéreuses de la famille des astéracées, originaire d'Amérique centrale et d'Amérique du Sud. Il existe 42 espèces de cette plante vivace et chacune d'entre elles présente des couleurs, des tailles et des formes différentes. Le dahlia est considéré comme l'une des fleurs de jardin les plus populaires en raison de ses feuilles vertes dentées et de ses fleurs colorées attrayantes.",Plein soleil,Moyenne,Moyen,Limon,1.0,1.0,0.5,"Automne, Été","Vivaces, Bulbes",30.48,213.36,,
Datura (Devil's Trumpet),"Le Datura est un genre d'environ 10 espèces de plantes à fleurs de la famille des Solanaceae, qui sont principalement originaires d'Amérique du Nord. Les daturas peuvent atteindre une hauteur de 2 m (7 ft), avec des feuilles allant de petites à grandes et de vert gris à vert foncé. Ce sont des plantes annuelles ou des plantes vivaces à courte durée de vie, caractérisées par des fleurs voyantes, érigées, en forme de trompette. Les fleurs sont généralement blanches, mais parfois jaunes, rosées et violettes. Elles poussent d'abord à la verticale, puis s'inclinent vers le bas, dégageant un parfum intense qui attire fortement les insectes tels que les papillons de nuit.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",200.0,213.36,,
Delphinium (Larkspur),"Le delphinium, communément appelé pied d'alouette, est un genre d'environ 300 espèces de la famille des Ranunculaceae, originaire de l'hémisphère nord, avec quelques espèces trouvées en Afrique. Les delphiniums sont largement connus pour leurs épis voyants, leurs tiges robustes et leurs magnifiques fleurs bleues.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Automne, Été",Vivaces,30.0,182.88,,
Deutzia (Deutzia),"Le Deutzia est un genre d'environ 60 espèces d'arbustes à fleurs de la famille des Hydrangeaceae, originaires d'Asie et d'Amérique centrale. Ces arbustes ont de longues branches arquées et des fleurs à 5 pétales, en forme de coupe ou d'étoile, qui fleurissent au printemps et en été. Les fleurs sont souvent parfumées et portées en grappes, s'élevant généralement au-dessus des pousses arquées. ","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Arbustes,30.0,400.0,,
Dianthus (Carnation; Pink; Sweet William),"Dianthus, également connu sous le nom d'œillet, est un genre de la famille des Caryophyllaceae principalement originaire d'Europe et d'Asie. Il comprend environ 300 espèces d'annuelles, de vivaces et de sous-arbrisseaux. La plupart des espèces ont des feuilles simples et étroites et des fleurs abondantes de formes et de couleurs variées. Les œillets ont souvent un parfum épicé et une longue floraison, ce qui les rend parfaits pour les bouquets et les jardins. Ils sont appréciés pour leur beauté, leur charme, leur parfum de clou de girofle et leur fraîcheur durable.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes",10.0,91.44,,
Diascia (Twinspur),"Diascia est un genre d'environ 70 espèces de la famille des Scrophulariaceae, originaire d'Afrique australe. Les Diascia produisent de petites feuilles vert foncé et des fleurs petites mais abondantes. Les fleurs colorées, semblables à des coquillages, sont portées en grappes lâches du printemps à l'automne. Elles sont tubulaires et lippues, chacune avec deux éperons à l'arrière de la fleur. Le diascia est une plante ornementale extrêmement populaire dans le monde entier. Elle est idéale pour les rocailles, les bacs et les bordures. ","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",30.0,60.96,,
Dicentra (Bleeding Heart),"Dicentra, communément appelé « Bleeding Heart », est un genre d'environ 10 espèces de plantes herbacées de la famille des Papaveraceae, originaires d'Asie et d'Amérique du Nord. Leur caractéristique principale est la forme des fleurs. Les Dicentra portent des fleurs en forme de cœur qui pendent en rang sur des tiges arquées, d'où pend une petite « goutte de sang » à la base, ce qui donne à la plante un aspect spectaculaire. Elles fleurissent au printemps et au début de l'été et meurent au sol lorsque la chaleur de l'été arrive. ","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Été",Vivaces,90.0,91.44,,
Dietes (Dietes),"Dietes est un genre de 6 espèces de plantes rhizomateuses de la famille des Iridaceae, originaires du sud et du centre de l'Afrique, à l'exception d'une espèce, la Dietes robinsoniana, qui est endémique de l'île Lord Howe, au large de l'Australie. Le Dietes produit un feuillage étroit, semblable à une épée, et de grandes fleurs ressemblant à des iris sur de hautes tiges filiformes. C'est une plante polyvalente qui peut être utilisée pour les bordures, les jardins d'eau et les plantations de masse.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver",Vivaces,150.0,152.4,,
Digitalis (Foxglove),"La digitale, communément appelée digitale des champs, est un genre d'environ 25 espèces de plantes herbacées de la famille des Plantaginaceae, originaire d'Europe, d'Asie et du nord-ouest de l'Afrique. Cette plante spectaculaire, qui attire le regard, porte des grappes de fleurs tubulaires ou en forme de clochettes, hautes et pendantes. Attrayante et distincte, la digitale est une fleur sauvage facilement reconnaissable, connue pour sa toxicité et ses propriétés médicales.","Plein soleil, Mi-ombre, Ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Vivaces,180.0,182.88,6,6
Dracula (Monkey Orchid),"Dracula est un genre de plus de 100 espèces de plantes à fleurs de la famille des Orchidacées, originaires d’Amérique centrale et d’une partie de l’Amérique du Sud. Les espèces de ce genre sont assez diverses, mais les plus populaires sont celles qui ressemblent à des singes. Ces fleurs inhabituelles et voyantes sont l’une des orchidées les plus étonnantes que vous ayez jamais vues. Mère Nature est si créative !",Mi-ombre,Moyenne,Moyen,Limon,0.5,1.0,0.5,"Printemps, Automne, Été, Hiver",Vivaces,60.0,60.96,,
Echinacea (Coneflower),"L'échinacée est un genre d'environ 10 espèces de la famille des Astéracées, originaire d'Amérique du Nord. L'échinacée, communément appelée échinacée, possède des fleurs attrayantes et colorées ressemblant à des marguerites, avec un disque central en forme de cône entouré d'un anneau de rayons en forme de pétales. Elle possède des feuilles vert foncé en forme de lance ou d'ovale et une tige haute, fine et velue qui peut atteindre jusqu'à 120 cm (4 pieds) de hauteur. Ces plantes vivaces sont faciles à entretenir une fois que vous connaissez les secrets pour répondre à leurs besoins. Elles sont résistantes à la chaleur et à la sécheresse et attireront les oiseaux et les pollinisateurs dans votre jardin.","Plein soleil, Mi-ombre",Faible,Faible,Limon,1.5,0.0,0.0,Été,Vivaces,30.0,121.92,6.0,6.0
Echinops (Globe Thistle),"Echinops est un genre qui comprend environ 150 espèces de plantes à fleurs originaires d'Europe, d'Asie et d'Afrique du Nord. Le genre appartient à la famille des Astéracées, l'une des plus grandes familles de plantes. Les Echinops sont bien connus et reconnaissables à leur couronne globulaire de fleurs bleu foncé et à leur feuillage épineux et laineux, souvent gris-vert. C'est une plante couvre-sol utile, une excellente fleur coupée et un bon choix pour la bordure, capable d'attirer tous les pollinisateurs environnants.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,Été,Vivaces,50.0,152.4,5.5,5.5
Emilia (Tassel Flower),"Emilia, également connue sous le nom de Tassel Flower, est un genre de plus de 100 espèces de la famille des Asteraceae, réparties principalement dans les régions tropicales de l'Ancien Monde. Emilia a des fleurs lumineuses en forme de glands qui apparaissent sur ses tiges fines en été et au début de l'automne. Les fleurs se déclinent dans des tons de violet, de rouge et d'orange et sont idéales pour les jardins en pot et les compositions de fleurs fraîchement coupées.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été",Annuelles,30.0,91.44,,
Epimedium (Barrenwort; Bishop's hat; Horny Goat Weed),"Epimedium est un genre d'environ 60 espèces de la famille des Berberidaceae, originaire d'Europe et d'Asie et réparti dans les régions autour de la mer Méditerranée et de l'Asie de l'Est. Ces plantes qui aiment l'ombre ont de charmantes feuilles en forme de cœur ou de pointe de flèche et de belles fleurs en forme d'étoile de différentes couleurs. Les Epimediums sont des plantes vivaces à longue durée de vie et de bons couvre-sols connus pour leur robustesse, leur force et leur capacité à rivaliser avec les racines des arbres, ce qui en fait un excellent choix pour tout jardin d'ombre.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Été, Hiver",Vivaces,60.0,60.96,5.5,7.0
Eranthis (Winter Aconite),"Eranthis est un genre d'environ 10 espèces de plantes vivaces tubéreuses de la famille des Ranunculaceae, originaires du sud de l'Europe et d'Asie. Ces plantes à croissance basse comptent parmi les fleurs d'hiver les plus frappantes et font partie des premiers bulbes à fleurir au printemps, apparaissant souvent aux côtés des perce-neige. Les fleurs en forme de coupe sont jaunes ou blanches, distinctes et assez inhabituelles, soutenues par des bractées feuillées divisées. Elles sont faciles à entretenir et peuvent survivre à la neige et au gel. Ces plantes à floraison précoce sont idéales pour les massifs et les bordures, et seront magnifiques plantées en grandes rangées sous les arbres. Elles conviennent aux rocailles, aux jardins de campagne et comme couvre-sol.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Hiver","Vivaces, Bulbes",20.0,20.32,,
Erysimum (Wallflower),"Erysimum est un genre d'environ 180 espèces de plantes à fleurs de la famille des Brassicacées, originaires d'Europe, d'Asie occidentale et d'Amérique du Nord. L'Erysimum produit des feuilles étroites, gris-vert et des fleurs à quatre pétales, aux couleurs vives et souvent parfumées, portées par de longs épis. Elles constituent un excellent choix pour votre jardin, votre parterre de fleurs ou votre bordure de jardin.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes",90.0,91.44,5.0,5.0
Erythronium (Fawn Lily),"Erythronium est un genre d'environ 30 espèces de plantes vivaces bulbeuses de la famille des Liliacées. La plupart des espèces sont originaires d'Amérique du Nord, à l'exception d'Erythronium dens-canis, originaire d'Europe centrale et méridionale. Les membres de ce genre ont de jolies fleurs pendantes et des feuilles tachetées, souvent aux couleurs ou aux motifs bizarres. Elles sont faciles à cultiver et populaires dans les jardins.",Mi-ombre,Moyenne,Faible,Limon,0.5,1.0,0.0,Printemps,"Vivaces, Bulbes",60.0,60.96,,
Eustoma (Lisianthus; Prairie Gentian),"Eustoma est un genre qui ne comprend que trois espèces de la famille des Gentianacées, originaires du sud des États-Unis, du Mexique, des Caraïbes et d’Amérique du Sud. L’Eustoma, également appelé Lisianthus ou Gentiane des prairies, peut être annuel ou vivace, selon la région où il est cultivé. Cette plante produit de grandes et magnifiques fleurs en forme de cloche, à pétales simples ou doubles.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Automne, Été","Annuelles, Vivaces",15.0,91.44,6.5,6.5
Felicia (Blue Daisy; Marguerite Daisy),"Felicia est un genre d’environ 80 espèces annuelles, vivaces et de petits arbustes appartenant à la famille des Astéracées. La plupart de ces espèces sont originaires d’Afrique australe, où elles poussent sur les dunes côtières, les plaines rocheuses et sablonneuses, les pentes caillouteuses et les falaises de basalte. La plante présente des capitules typiques de type « marguerite », généralement avec des pétales voyants de couleur bleue, blanche ou violette, et un centre jaune vif. Cette beauté saisissante possède une longue période de floraison, du printemps à l’automne, et attire papillons, abeilles, guêpes, araignées et thrips.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Arbustes",50.0,50.8,,
Forsythia (Golden Bell),"Forsythia est un genre d’environ 10 espèces de plantes à fleurs de la famille des Oléacées, originaires d’Asie de l’Est. Ces plantes sont des arbustes à feuilles caduques, à la fois durables et à croissance rapide. Elles produisent des grappes de fleurs jaune vif qui apparaissent généralement avant les feuilles, créant un effet spectaculaire au début du printemps. Lorsqu’il pleut, les fleurs adoptent une forme pendante pour protéger leurs parties reproductrices.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,Printemps,Arbustes,60.0,609.6,,
Fritillaria (Checkered Lily; Snakes Head; Crown Imperial),"Fritillaria est un genre comprenant plus de 100 espèces de plantes herbacées à bulbes de la famille des Liliacées, originaires de l’hémisphère nord. Une tige haute et fine porte un cercle de fleurs pendantes, colorées et voyantes, en forme de cloche. C’est une plante élégante et remarquable qui peut atteindre 1,5 mètre de hauteur. La fritillaire est utile dans les massifs, les bordures, les pots, les rocailles et peut également être utilisée comme fleur coupée.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,Printemps,"Vivaces, Bulbes",30.0,152.4,,
Fuchsia (Lady's eardrop),"Fuchsia est un genre comprenant plus de 100 espèces d’arbustes ou de petits arbres, à feuilles caduques ou persistantes, appartenant à la famille des Onagracées, originaires d’Amérique centrale et d’Amérique du Sud. Le fuchsia est très apprécié pour ses fleurs hautement ornementales, attrayantes et généralement pendantes, aux combinaisons de rouge, blanc, rose et violet. Aujourd’hui, le fuchsia est l’une des plantes ornementales les plus cultivées au monde.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été","Arbustes, Arbres",15.0,1524.0,5.5,5.5
Galanthus (Snowdrops),"Galanthus, communément appelé Perce-neige, est un genre qui comprend environ 20 espèces de plantes bulbeuses de la famille des Amaryllidacées, originaires d’Europe et du Moyen-Orient. Symboles du début du printemps, ils comptent parmi les premiers bulbes à fleurir. Les perce-neige sont célèbres pour leurs fleurs blanches en forme de cloche, qui pendent librement et donnent une impression de modestie.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Hiver","Vivaces, Bulbes",25.0,25.4,6.0,8.0
Gardenia (Gardenia),"Gardenia est un genre qui comprend environ 140 espèces d’arbustes et de petits arbres à feuillage persistant. Il appartient à la famille des Rubiacées et est originaire des régions tropicales et subtropicales d’Asie, d’Australasie, d’Océanie et d’Afrique. Ces plantes sont réputées pour leurs fleurs cireuses, très parfumées, de couleur blanche ou crème, ainsi que pour leurs feuilles vert foncé et brillantes. Elles apporteront charme, couleur et parfum à votre jardin. Les visiteurs, tout comme les pollinisateurs, apprécieront leurs magnifiques floraisons parfumées.","Plein soleil, Mi-ombre",Moyenne,Difficile,Limon,1.5,1.0,1.0,"Printemps, Été","Arbustes, Arbres",60.0,609.6,,
Gentiana (Gentian),"Gentiana est un grand genre d’environ 400 espèces de la famille des Gentianacées, réparties dans le monde entier. Ces plantes poussent dans une grande variété d’habitats et se trouvent sur tous les continents à l’exception de l’Antarctique. Elles produisent des fleurs en forme de trompette, aux couleurs vives, portées par de courtes tiges. Les fleurs comptent 4 ou 5 sépales et le même nombre d’étamines et de pétales. Elles sont parfaites en tant que fleurs coupées et pour réaliser des arrangements floraux.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",5.0,91.44,,
Geranium (Cranesbills),"Le genre Geranium, également appelé « Géranium vivace » ou « Bec-de-grue », comprend plus de 400 espèces de plantes à fleurs de tailles, formes et couleurs variées. Le géranium appartient à la famille des Géraniacées et se rencontre dans de nombreuses régions tempérées du globe ainsi que dans certaines zones tropicales d’altitude. La plupart de ces espèces possèdent un feuillage décoratif et aromatique, ainsi que des fleurs en forme de soucoupe, symétriques, comportant cinq pétales distincts. Ces plantes très attractives figurent parmi les plus populaires, fréquemment utilisées dans les massifs, les bordures et les pots. Faciles à cultiver, elles fleurissent généralement du printemps à l’automne.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",15.24,121.92,,
Gerbera (Gerbera),"Gerbera est un genre qui comprend environ 40 espèces de plantes à fleurs de la famille des Astéracées (famille des marguerites), originaires d’Asie tropicale et d’Afrique. Ces plantes vivaces portent un grand capitule formé de fleurons ligulés de différentes couleurs. En réalité, ce « capitule » est un vaste ensemble de centaines de minuscules fleurs. Les gerberas sont de belles plantes d’intérieur et figurent parmi les fleurs coupées les plus populaires. Leur grande taille et leurs couleurs vives les rendent extrêmement attrayantes.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,12.7,45.72,5.5,6.5
Geum (Avens),"Geum est un genre d’environ 50 espèces de la famille des Rosacées, largement réparties dans les régions tempérées du monde. Le geum est une plante polyvalente remarquable qui fleurit au printemps et en été. Aussi connue sous le nom d’Avens, cette vivace produit de belles fleurs simples ou doubles dans une large gamme de couleurs. Les fleurs éclatantes et lumineuses se dressent au-dessus du feuillage sur des tiges droites et fines, leur conférant une apparence délicate et aérienne. Les geums conviennent aux bordures et aux rocailles, mais peuvent également être cultivés en pot. Ils sont parfaits en arrangements en pot et constituent d’excellentes fleurs coupées.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Vivaces,60.0,60.96,,
Gladiolus (Gladiola; Sword lily),"Le genre Gladiolus, parfois appelé « Lis épée », comprend environ 300 espèces appartenant à la famille des Iridacées. La plupart sont originaires d’Afrique subsaharienne, et une dizaine d’espèces proviennent d’Eurasie. Ces plantes vivaces produisent des feuilles étroites en forme de lame et de jolies fleurs parfumées sur de grandes hampes florales. Elles se déclinent dans une large palette de couleurs et sont très appréciées aussi bien comme fleurs de jardin que comme fleurs coupées.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Vivaces, Bulbes",180.0,182.88,6.0,6.0
Gloriosa (Flame Lily),"Gloriosa est un genre d’environ 10 espèces de la famille des Colchicacées, originaires d’Afrique tropicale et d’Asie. Bien que classées parmi les vivaces, elles sont souvent traitées comme des annuelles semi-rustiques. Elles sont connues pour leurs fleurs attrayantes, au look exotique, qui fleurissent de la fin du printemps à l’automne. Ces plantes grimpantes, au charme saisissant, méritent une place de choix dans tout jardin grâce à leurs couleurs vives et leur forme distinctive. Si vous cherchez quelque chose de spécial pour votre jardin ou votre intérieur, ou si vous avez du mal à trouver une plante particulière que vous désirez depuis longtemps, la Gloriosa est un excellent choix.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Printemps, Automne, Été","Annuelles, Vivaces, Bulbes, Grimpantes",300.0,304.8,,
Gomphrena (Gomphrena),"Gomphrena est un genre de plus de 100 espèces de plantes à fleurs de la famille des Amaranthacées, réparties dans les régions tempérées chaudes, subtropicales et tropicales du monde. Le genre comprend des plantes annuelles et vivaces de petite taille, produisant des fleurs de couleur blanche, jaune, rose, orange, rouge ou violette. Certaines espèces sont utilisées en médecine traditionnelle et d’autres en ornement. Faciles à cultiver et résistantes à la sécheresse, elles conviennent aux plates-bandes, bordures, pots et jardinières, et sont idéales en fleurs coupées ou séchées.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",90.0,91.44,,
Hamamelis (Witch Hazel),"Hamamelis, ou « Noisetier des sorcières », est un genre qui ne compte que quelques espèces de la famille des Hamamélidacées, originaires d’Asie de l’Est et d’Amérique du Nord. Il s’agit d’arbustes ou de petits arbres caducs pouvant atteindre 8 m de hauteur, produisant des fleurs parfumées et filiformes en automne ou en hiver, directement sur le bois nu. Très rustiques, ils apportent de la couleur en plein hiver.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Hiver","Arbustes, Arbres",150.0,800.0,4.5,4.5
Helenium (Sneezeweed),"Helenium est un genre d’environ 40 espèces de la famille des Astéracées, originaires des Amériques. Les heleniums produisent un feuillage vert et des tiges fines surmontées de fleurs en forme de marguerite aux couleurs vives, qui s’épanouissent en été et en automne. Chaque capitule comprend un disque central de fleurons tubulés entouré de ligules plus larges, souvent retombantes. Aimant le plein soleil, ils attirent papillons et autres pollinisateurs.",Plein soleil,Moyenne,Moyen,Limon,1.0,1.0,0.5,"Automne, Été","Annuelles, Vivaces",150.0,152.4,,
